Name:                Marta
ID:                  11
Importance:          1
POV:                 True
Motivation:          Venganza
Goal:                Destruir a RIO, cediendo el control a la *Sirena* (**"Juego" de la Burbuja Global**).
Conflict:            Marta se pregunta si las ganas que tiene de vengarse de RIO a toda costa merece la muerte de gente inocente y la liberación de un posible virus, ignorando la "utopía" de Lucas.
Epiphany:            Acaba confiando en Lucas para destruir a RIO y liberar a la *Sirena* sin perder su humanidad.
Phrase Summary:      Marta es una programadora que acaba siendo secuestrada por RIO para trabajar en la {W:2:Investigación de la Sirena} junto con Jonás.
Paragraph Summary:   Marta es una programadora que acaba siendo secuestrada por RIO para trabajar en la {W:2:Investigación de la Sirena} junto con Jonás. Tras ver el peligro que supone RIO, y especialmente tras el asesinato de su amante por parte de la corporación, se decide a intentar destruir RIO mediante la liberación de la *Sirena*.
Full Summary:        "Entre la pared negra y el ascensor, una mujer de unos cuarenta años, de complexión fuerte y pelo rubio y lacio hasta los hombros, mantenía un brazo en alto hacia la pared. Su mano, con la palma abierta, estaba cubierta por un guante negro de apariencia metálica."
                     
                     En 2022 se presenta a una entrevista de programadora.
Color:               #98d7ce
